Référence	ContexteGauche	Pivot	ContexteDroit
amiamil, p. 83, v. 2586	fois ont vos armes sauvees. Raléz voz ent en la vostre contree, Dou	chevauchier_|chevaucher|_VERinf	est la voie remese, Toute la chars m'est des cuisses sevree, Desci
amiamil, p. 105, v. 3297	grant harnois font trorser et chargier, Endroit midi partirent de Riviers. Des or	chevauchent_|chevaucher|_VERcjg	le grant chemin plenier, Desci a Blaivies ne voldrent atargier. La descendirent chiés
amiamil, p. 111, v. 3489	la mer rapassent li baron, Lors remonta chascuns en l'arragon. Parmi Prouvence	chevauchent_|chevaucher|_VERcjg	a bandon Li dui baron ensamble. Quant li baron orent la mer passee,
conttyr_a, p. 29	un fis que il li mist nom Alex. Il avint que l'emperere Kirsac	chevauchoit_|chevaucher|_VERcjg	par mi son empire, si se herberja pres de Cesaire Phelipe la cité,
conttyr_a, p. 29	que se ele n'estoit empereriz, jamais ne gerroit a son costé, Alex	chevaucha_|chevaucher|_VERcjg	tantost, et ala a son frere. Et ensi come il estoit usé de
conttyr_a, p. 41	hors, si s'en retorna le maistre dou Temple. Car il ne poeit	chevauchier_|chevaucher|_VERinf	, tant par estoit dolanz et dolerous des cos qu'il avoit reseus en la
conttyr_a, p. 47	mie a demander par cui con- seill je le faz. Je voill que vos	chevauchiez_|chevaucher|_VERcjg	et movés ades a aler envers Thabarie. » Il come preudomes et leiaus obeïrent
conttyr_a, p. 47	il avint en cel ost ne lairai ge que je ne vos die. Les	chevaucheures_|chevauchure|_NOMcom	de l'ost des crestiens, le jor devant et la nuit qu'il murent
conttyr_a, p. 47	.ij. liues, les serjanz de l'ost troverent une vieille Sarazine sur un asne	chevauchant_|chevaucher|_VERppa	. Les serjanz de l'ost cuidierent que ce fust aucune esclave qui s'en
conttyr_a, p. 48	dist : « Sire, ne sui je donques vostre asnesse, que vos soliés	chevauchier_|chevaucher|_VERinf	? Por quoi me batés vos ? » Il li dist : « Se je
conttyr_a, p. 52	les crestiens, dont les crestiens avoient plus grant angoisse de soif, et les	chevaucheures_|chevauchure|_NOMcom	meismes. Une merveille avint en l'ost des crestiens le jor qu'il furent
conttyr_a, p. 53	des pilez par mi la fumee, si que il nafreient et tuoient homes et	chevaucheures_|chevauchure|_NOMcom	. Quant le rei vit la mesaisse ou cil de l'ost estoient, il
desire, p. 195, v. 687	Vestues furent richement, lur dras valent cent marz d'argent ; dous blanches mules	chevacherent_|chevacherent|_VERcjg	, e dous blancs esprevers porterent. A merveile les esgarderent li reis e cil
villehardouin1, p. 18	Venise cuideient trover plus grant plenté de vaisiax que a nul autre port. Et	chevauchierent_|chevaucher|_VERcjg	par lor jornees tant que il vindrent la premiere semaine de quaresme. Li dux
villehardouin1, p. 32	por conmencier le navile. Ensi pristrent congié por raler en lor païs, et	chevauchierent_|chevaucher|_VERcjg	par lor jornees tant que il vindrent a Plasence en Lombardie. Enki se partirent
villehardouin1, p. 36	et vaillant. Et ensi se partirent, si tint cascuns sa voie. Tant	chevaucha_|chevaucher|_VERcjg	Joffrois li mareschaus par ses jornees que il vint a Troies en Campaigne et trova
villehardouin1, p. 36	novelle coment il avoient esploitié, si fu si liez qu'il dist qu'il	chevaucheroit_|chevaucher|_VERcjg	, ce qu'il n'avoit pieça fait, et leva sus, et chevalcha
villehardouin1, p. 36	chevaucheroit, ce qu'il n'avoit pieça fait, et leva sus, et	chevalcha_|chevaucher|_VERcjg	. Alas ! com grant domages ! Car onques puis ne chevalcha que cele foiz
villehardouin1, p. 36	sus, et chevalcha. Alas ! com grant domages ! Car onques puis ne	chevalcha_|chevaucher|_VERcjg	que cele foiz. Sa maladie crut et esforça, tant que il fist sa
villehardouin1, p. 50	al departir de lor païs, de lor genz et de lor amis. Ensi	chevauchierent_|chevaucher|_VERcjg	parmi Borgoigne et parmi les monz de Mongeu et par Moncenis et par Lombardie et
villehardouin1, p. 56	esliz li cuens Hues de Sain Pol et Joffrois li mareschaus de Champaigne ; et	chevauchierent_|chevaucher|_VERcjg	tresci que a Pavie en Lombardie. Enqui troverent le conte Loeys, a grant
villehardouin1, p. 156	a rengier si com il devoient. Li cuens Baudoins de Flandres et de Hennaut	chevauche_|chevaucher|_VERcjg	, qui l'avan garde faisoit, et les autres batailles aprés chascune si cum
villehardouin1, p. 156	qui l'avan garde faisoit, et les autres batailles aprés chascune si cum eles	chevauchier_|chevaucher|_VERinf	devoient. Et alerent trosque la ou l'emperere Alexis avoit esté logiez. Et
villehardouin1, p. 162	per.IIII. jors. Al cinquiesme jor aprés s'arma tote l'oz, et	chevauchierent_|chevaucher|_VERcjg	les batailles si com eles erent ordenees tot par desor le port, trosque endroit
villehardouin1, p. 164	afaitier. Ensi fu li ponz afaitiez et les batailles armees au maitin ; et	chevauche_|chevaucher|_VERcjg	li uns aprés l'autre, si com eles erent ordenees, et vont devant
villehardouin1, p. 178	fust toz li monz. Lors fist ses batailles ordoner parmi la campaigne, et	chevaucent_|chevaucher|_VERcjg	vers l'ost. Et quant nos François les voient, si saillent as armes
villehardouin1, p. 180	maniere que on ne pooit a els venir se par devant non. Et tant	chevaucha_|chevaucher|_VERcjg	l'emperiere Alexis qu'il fu si prés que on traioit des uns as autres
villehardouin1, p. 182	retorna arriere. Et quant ce vit li hos des pelerins, si comença a	chevaucher_|chevaucher|_VERinf	le petit pas vers lui, et les batailles des Grex comencent a aler en
villehardouin2, p. 7	, que li Grieu et les dames de Costantinople alerent encontre lor amis a granz	chevauchies_|chevauchée|_NOMcom	; et li pelerin ralerent encontre les lor, dont il orent mult grant joie
villehardouin2, p. 10	conseil. Ensi monterent li message sor lor chevax, les espees çaintes, et	chevaucherent_|chevaucher|_VERcjg	ensemble trosque al palais de Blaquerne. Et sachiez que il alerent en grant peril
villehardouin2, p. 24	que on n'i assemblast ou par terre ou par mer. Lors fist une	chevauchie_|chevauchée|_NOMcom	Henris, li frere le conte Baudoin de Flandres, et mena grant partie de
villehardouin2, p. 26	lor païs. Et s'en partirent a une vespree de l'ost ; et	chevaucherent_|chevaucher|_VERcjg	tote nuit ; et l'endemain, de halte hore, si vindrent a une
villehardouin2, p. 26	jor s'en partirent a totes lor proies et a toz lor gaienz, et	chevauchierent_|chevaucher|_VERcjg	arriers vers l'ost. L'empereres Morchufles oï dire les novelles que cil estoient
villehardouin2, p. 46	comencent les chevas a traire des uissiers ; et li chevalier comencent a monter et	chevaucent_|chevaucher|_VERcjg	droit a la herberge l'empereor Morchufle. Et il avoit ses batailles rengies devant
villehardouin2, p. 48	les Frans assaillir. Mais il nel fist mie ensi com il dist, ainz	chevaucha_|chevaucher|_VERcjg	vers autres rues, plus loing qu'il pot de cels de l'ost,
villehardouin2, p. 50	. Si ne troverent onques qui fust encontre als. Li marchis Bonifaces de Monferrat	chevaucha_|chevaucher|_VERcjg	tote la marine, droit vers Bochedelion. Et quant il vint la, si
villehardouin2, p. 60	Venitiens, en vint bien avant.CCCC..M. mars d'argent, et bien.X.M.	chevaucheüres_|chevauchure|_NOMcom	, que unes que autres. Ainsi fu departiz li gaienz de Costantinople com vos
villehardouin2, p. 76	par son comandement, bien a toz.C. chevaliers de mult bone gent ; et	chevaucha_|chevaucher|_VERcjg	de cité en cité ; et de chascune ville, la ou il venoit,
villehardouin2, p. 80	. Lors s'esmut l'empereres Baudoins a tote s'ost de Costantinoble, et	chevaucha_|chevaucher|_VERcjg	tant que il vint a Andrenople. Enqui trova Henri son frere et les autres
villehardouin2, p. 82	traïsoit li uns l'autre. Lors fu li consels l'empereor Baudoin qu'il	chevaucheroit_|chevaucher|_VERcjg	droit a Messinople, ou l'empereres Alexis ere. Et li Gré d'Andrenople
villehardouin2, p. 82	serjanz a cheval. Ensi s'en parti l'empereres Baudoins d'Andrenople, et	chevaucha_|chevaucher|_VERcjg	vers Messinople, ou il cuida l'empereor Alexi trover. Totes les terres par
villehardouin2, p. 82	empereres Alexis, si vuide Messinople et s'en fui. Et l'empereres Baudoins	chevalcha_|chevaucher|_VERcjg	tant que il vint devant Messinople. Et cil de la ville vont encontre lui
villehardouin2, p. 84	l'empereres : qu'il en amenoit avec lui l'empereris sa fame. Et	chevaucha_|chevaucher|_VERcjg	tant que il vint vers Messinople, sor le flum ; et enchi se herberja
villehardouin2, p. 86	et Bonifaces li marchis de Monferrat, et par malvais conseil. L'empereres Baudoins	chevaucha_|chevaucher|_VERcjg	vers Salenique, si com il ot empris, a totes ses genz et a
villehardouin2, p. 86	toz cels de l'empire d'Alemaigne, qui se tenoient al marchis. Ensi	chevaucha_|chevaucher|_VERcjg	li marchis arriere trosque a un chastel qui li Dimos ere appelez, mult bel
villehardouin2, p. 88	a une jornee ou a deus, venir a sa merci. L'empereres Baudoins	chevaucha_|chevaucher|_VERcjg	adés droit a Salenique, et vint a un chastel qui ot a nom Cristople
villehardouin2, p. 88	; et li fu renduz altressi, et li firent fealté. Et d'enqui	chevaucha_|chevaucher|_VERcjg	a la Serre, qui ere une citez forz et riche ; et vint a
villehardouin2, p. 88	son conmandement et a sa volenté, et li firent fealté. Et d'ilec	chevaucha_|chevaucher|_VERcjg	vers Salenique, et se herbeja devant la vile, et i fu par trois
villehardouin2, p. 90	la soe gent et la grant plenté des Grex qui a lui se tenoient,	chevaucha_|chevaucher|_VERcjg	devant Andrenople, et l'asist, et tendi ses trés et ses paveillons entor
villehardouin2, p. 92	l'ost et des plus honorez. Ensi s'en partirent de Costantinople, et	chevauchierent_|chevaucher|_VERcjg	par lor jornees, et vindrent a Andrenople, ou li sieges ere. Et
villehardouin2, p. 100	cele voie furent mort.XL. chevalier, dont l'ost fu mult afeblie. Tant	chevaucha_|chevaucher|_VERcjg	l'empereres Baudoins par ses jornees qu'il encontra les messages qui venoient encontre lui
villehardouin2, p. 104	li tierz ; et li dux de Venise i envoia.II. des suens. Ensi	chevauchierent_|chevaucher|_VERcjg	li message per lor jornees tant que il vindrent al Dimot ; et troverent le
villehardouin2, p. 106	il ala avec als en Costantinople et mena bien.C. chevaliers avec lui. Et	chevauchierent_|chevaucher|_VERcjg	tant par lor jornees que il vindrent en Costantinople. Mult fu volentiers veüz en
villehardouin2, p. 108	vers Salenike a totes ses genz et a tote sa fame ; et avec lui	chevauchoient_|chevaucher|_VERcjg	li message l'empereor ; et si com il venoit de chastel en chastel,
villehardouin2, p. 120	; et en mena bien avec lui.VI. chevaliers de mult bone gent. Et	chevaucha_|chevaucher|_VERcjg	tant par ses jornees qu'il trespassa Andrenople et vint à Finepople. Et la
villehardouin2, p. 120	Sainte Manehalt. Avec lui ala Mahius de Vaslaincort et Robert de Ronçoi. Et	chevauchierent_|chevaucher|_VERcjg	a une cité qui ere appellee Nichomie, et si sit sor un goffre de
villehardouin2, p. 126	chastel que on apelle Palorme, si le garnirent de lor gent. Et puis	chevauchierent_|chevaucher|_VERcjg	oltre, por conquerre la terre. Toldres li Ascres se fu porchaciez de tote
villehardouin2, p. 130	de la cité d'Avie, et la laissa garnie de sa gent, et	chevalcha_|chevaucher|_VERcjg	a une cité que l'en apelle l'Andremite, qui siet sor mer a
villehardouin2, p. 130	charja Costentin son frere, qui ere uns des meillors Griex de Romanie ; et	chevalcha_|chevaucher|_VERcjg	vers l'Andremite droit. Et Henris, li freres l'empereor Baudoin, le
villehardouin2, p. 136	a tant de gent com il pot avoir s'en vait contre lui, et	chevauche_|chevaucher|_VERcjg	per mult grant peril bien.VI. jornees par mi la terre ; et vint a
villehardouin2, p. 138	a cheval grant part. Et entrerent en la terre de la Moree, et	chevalchièrent_|chevalchièrent|_VERcjg	trosque a la cité de Mouton. Michalis oï qu'il estoient a si pou
villehardouin2, p. 138	: si amassa grant gent, et ce fu une mervoille de gent, et	chevaucha_|chevaucher|_VERcjg	aprés als si cum cil qui les cuidoit avoir toz pris et avoir en sa
villehardouin2, p. 138	tens ere abatue, et il laissierent lor hernois et lor menue gent. Et	chevauchierent_|chevaucher|_VERcjg	per un jor, et ordenerent lor batailles de tant de gent com il avoient
villehardouin2, p. 140	s'en tornerent mult lié et mult joiant a la cité de Moton. Aprés	chevauchierent_|chevaucher|_VERcjg	a une cité que on apelle Corone, qui sor mer estoit, si l'
villehardouin2, p. 152	: et ce fu mult poi, car la terre se perdoit tote. Et	chevauchierent_|chevaucher|_VERcjg	trosque a la cité del Chunot, qui ere a.III. jornees de Costantinople.
villehardouin2, p. 152	esmut Joffrois li mareschaus, et Manassiers de Lisle, et lor genz ; et	chevauchierent_|chevaucher|_VERcjg	avant, et vindrent a la cité d'Archadiopio, si se herbergierent enz.
villehardouin2, p. 154	: et li Grieu l'orent vuidie, si se herbergierent dedenz. L'endemain	chevauchierent_|chevaucher|_VERcjg	a une cité que on apelle Nequise, qui ere mult bele et mult ferme
villehardouin2, p. 158	leus ou il aloient. Ensi issirent de Costantinople bien a.VII. chevaliers ; et	chevaucierent_|chevaucher|_VERcjg	de jornee en jornee tant que il vindrent al chastel de Nequise, ou Joffrois
villehardouin2, p. 158	cum il avoient. Et quant vint al maitin, a cler jor, il	chevaucherent_|chevaucher|_VERcjg	si cum devisé ere ; et vindrent devant Andrenople, et la troverent mult bien
villehardouin2, p. 170	Lisle, qui gardoit l'autre porte, que il le seüst isnelement. Et	chevaucha_|chevaucher|_VERcjg	a tote sa bataille encontre les fuianz grant alehure. Et li fuiant se recueillent
villehardouin2, p. 174	a cheval, et navrez et altres, que onques ne laissierent nelui. Et	chevauchierent_|chevaucher|_VERcjg	vers une cité qui siet sor mer, que l'on apelle Rodestoc, qui
villehardouin2, p. 178	sont, si revenrons al duc de Venise et a Joffroi le mareschal, qui	chevauchierent_|chevaucher|_VERcjg	tote la nuit que il repairerent d'Andrenople trosque a l'ajornee. Et lors
villehardouin2, p. 180	a tote s'ost ; et trova que cil s'en furent alé ; et	chevalcha_|chevaucher|_VERcjg	aprés lor rote, et ce fu joie que il nes trova : que perdu
villehardouin2, p. 182	faire : car il estoient bon chevalier et honoré. Joffrois li mareschaus de Champaigne	chevaucha_|chevaucher|_VERcjg	devant et les conduist ; et chevaucha trosques a une cité qui Cariople ert apellee
villehardouin2, p. 182	et honoré. Joffrois li mareschaus de Champaigne chevaucha devant et les conduist ; et	chevaucha_|chevaucher|_VERcjg	trosques a une cité qui Cariople ert apellee ; si vit que lor cheval estoient
villehardouin2, p. 182	; si vit que lor cheval estoient laissé de ce que il avoient tote nuit	chevauchié_|chevaucher|_VERppe	; et entra en la cité et les fist herbergier bien endroit hore de midi
villehardouin2, p. 182	, et cil firent l'ariere garde qui le jor l'avoient faite. Ensi	chevauchierent_|chevaucher|_VERcjg	tote nuit et l'endemain a grant dote et a grand paine, tant que
villehardouin2, p. 192	herbergierent la nuit el casal trosque a l'endemain. Et l'endemain murent et	chevaucherent_|chevaucher|_VERcjg	droit vers Rodestoch, et vinrent le soir en la ville ; et troverent le
villehardouin2, p. 194	de Veniciens, qu'il ere leur. Et l'endemain ordenerent lor batailles et	chevaucherent_|chevaucher|_VERcjg	vers Costantinople per lor jornees. Et quant il vindrent a Salembrie, une cité
villehardouin2, p. 196	empereor Baudoin de Costantinople, Henris ses frere la garni de sa gent. Et	chevalcherent_|chevaucher|_VERcjg	al remanant trosque en Costantinople, ou il furent mult volentiers veü, que la
villehardouin2, p. 200	l'empereor Baudoin de Costantinoble, a tant de gent com il mener pot,	chevalcha_|chevaucher|_VERcjg	sor les Griex trosque a une terre que l'on apelle le Curlot, qui
villehardouin2, p. 200	jurerent li Grieu la fealté, qui malvaisement ere tenue a cel tens. Et	chevaucha_|chevaucher|_VERcjg	a la cité d'Archadiople ; si la trova vuoide : que li Grieu ne
villehardouin2, p. 200	trova vuoide : que li Grieu ne l'i osserent attendre. Et d'iqui	chevaucha_|chevaucher|_VERcjg	a la cité de Visoi, qui mult ere forz et bien garnie de Griex
villehardouin2, p. 200	forz et bien garnie de Griex, si li fo rendue. Et d'iqui	chevaucha_|chevaucher|_VERcjg	a la cité de Naples, qui mult restoit bien garnie de Griex. Cum
villehardouin2, p. 202	bones. En icel termine avint que Johannis li rois de Blakie et de Bougrie	chevaucha_|chevaucher|_VERcjg	sor le marchis a totes ses hoz a une cité que on appelle la Serre
villehardouin2, p. 204	vers le marchis. Henris li bals de l'empire a tote la soe gent	chevaucha_|chevaucher|_VERcjg	vers Andrenople, si l'asist a molt grant peril : que il i avoit
villehardouin2, p. 206	et furent mult hardoié de la gent de la terre et des Grex. Et	chevauchierent_|chevaucher|_VERcjg	per lor jornees trosque a une cité que on apelle la Panphile ; et se
villehardouin2, p. 208	; et se herbergierent dedenz, et sejornerent per.II. mois iqui. Et firent	chevauchiees_|chevauchée|_VERppe	vers le Dimot, et en mains leus ou il aloient gaaignoient assez proies et
villehardouin2, p. 208	qui ot occis cels en traïson qui s'erent rendu à lui, et ot	chevauchié_|chevaucher|_VERppe	vers Salenike et ot sejorné longuement et gasté grant part de la terre. Li
villehardouin2, p. 210	a Johanisse et se rendirent a lui, et li distrent : « Sire,	chevauche_|chevaucher|_VERcjg	devant Phynepople, ou envoie t'ost : nos te renderons la ville tote.
villehardouin2, p. 216	Et cil de ces citez tindrent la guerre contre les Griex, et firent mainte	cevauchie_|chevauchée|_NOMcom	; et on en fist mainte envers als. Henris se traits en Constantinople al
villehardouin2, p. 216	cels del Dimot. Et quant cil furent plus creü, si s'esbaudirent et	chevauchierent_|chevaucher|_VERcjg	plus seürement. Tierris de Tendremonde, qui chevetaines ere et conestables, fist une
villehardouin2, p. 216	plus seürement. Tierris de Tendremonde, qui chevetaines ere et conestables, fist une	chevauchie_|chevauchée|_NOMcom	al quart jor devant la feste sainte Marie Candelor ; et chevaucha tote nuit bien
villehardouin2, p. 218	, fist une chevauchie al quart jor devant la feste sainte Marie Candelor ; et	chevaucha_|chevaucher|_VERcjg	tote nuit bien a.VI  _xx_. chevaliers, et la Rousse laissa garnie a pou de
villehardouin2, p. 218	vers la Rousse. Et cele nuit meïsmes, li Conmain et li Blac orent	chevauchié_|chevaucher|_VERppe	por forfaire, et furent bien.VII  _m_. Et vindrent a la matinee devant la Rousse
villehardouin2, p. 218	. N'orent mie eslongié la ville une liue et demie quant il encontrerent la	chevaucie_|chevauchée|_NOMcom	des François, dont Thierris de Tendremonde ere chevetaines. Quant les François les virent
villehardouin2, p. 220	a saveté. Et li Conmain et li Blac et li Grieu de la terre	chevauchierent_|chevaucher|_VERcjg	vers als, quar il avoient mult grant gent ; et vienent a l'ariere
villehardouin2, p. 226	Quant li Venicien oïrent dire que il venoit, si guerpirent Archadiople. Et Johanisse	chevaucha_|chevaucher|_VERcjg	tant que il vint a la cité de Naples, qui ere garnie de Griex
villehardouin2, p. 228	s'en estoient fui, qui ere bien a demie jornee loing de qui,	chevaucha_|chevaucher|_VERcjg	cele part. Li Grieu, qui estoient en la cité remés, se rendirent
villehardouin2, p. 230	fondre ; et les fist mener en Blaquie ausi com de celi. Et aprés	chevaucha_|chevaucher|_VERcjg	a la cité d'Arecloie, qui seoit sor un bon port de mer et
villehardouin2, p. 230	en Blakie, et fist fondre la cité conme les autres. Et de qui	chevaucha_|chevaucher|_VERcjg	a la cité de Daïn, qui ere mult fort et bele ; et la
villehardouin2, p. 230	: si li fu rendue ; et il la fist fondre et abatre. Aprés	chevaucha_|chevaucher|_VERcjg	a la cité del Churlot, qui s'ere a lui rendue, et il
villehardouin2, p. 240	en issi Henris de Costantinoble a tant de gent com il avoir pot, et	chevaucha_|chevaucher|_VERcjg	trosque a la cité de Salembrie, et enqui fu logiez devant la ville bien
villehardouin2, p. 244	. Tyerris de Los, qui ere seneschaus, fist l'ariere garde. Lors	chevauchierent_|chevaucher|_VERcjg	tot ordoneement par.III. jorz, ne onques plus perillossement genz n'alerent querre bataille
villehardouin2, p. 246	qui a nom Rodestuic. Et al matin mut l'ost des Frans, et	chevaucha_|chevaucher|_VERcjg	vers cele part por la bataille querre. Et Johannis se desloja et chevaucha arriers
villehardouin2, p. 246	et chevaucha vers cele part por la bataille querre. Et Johannis se desloja et	chevaucha_|chevaucher|_VERcjg	arriers vers son païs. Ensi le suirent par.V. jornees ; et il adés
villehardouin2, p. 248	et li baron qui avec lui estoient ; et fu telx lor conseils que il	chevalcheroient_|chevalcheroient|_VERcjg	avant. Si chevalchierent per.II. jorz, et se herbergierent en une mult bele
villehardouin2, p. 248	avec lui estoient ; et fu telx lor conseils que il chevalcheroient avant. Si	chevalchierent_|chevaucher|_VERcjg	per.II. jorz, et se herbergierent en une mult bele valee, prés d'
villehardouin2, p. 250	qui i allerent, que on a pou veü de si perilloses rescouses. Et	chevauchierent_|chevaucher|_VERcjg	.III. jorz per mi la terre a lor anemis. En cele rescolse ala Coenes
villehardouin2, p. 250	, et une bataille de Veniciens, dont Andrius Valeres ere chevetaine. Et ensi	chevauchierent_|chevaucher|_VERcjg	trosque au chastel d'Estanemac, et aprochierent tant que il virent l'Estanemac.
villehardouin2, p. 254	la ville ; et al maitin s'en partirent et guerpirent l'Estanemac. Et	chevauchierent_|chevaucher|_VERcjg	per.II. jorz ; et al tierz jor vindrent a l'ost ou Henris li
villehardouin2, p. 254	ala Henris li baus de l'impire et li autre baron en Costantinoble ; et	chevauchierent_|chevaucher|_VERcjg	per lor jornees tant que il vindrent en Costantinople, ou il furent voluntiers veü
villehardouin2, p. 256	a ses perrieres et a ses mangonials et l'ot povrement garni. Et Johannis	chevalcha_|chevaucher|_VERcjg	al Dimot, si lo prist et l'abbati, et fondi les murs trosque
villehardouin2, p. 258	emperere Henris quanque il pot avoir de gent, et issi de Costantinople, et	chevalcha_|chevaucher|_VERcjg	vers Andrenople per ses jornees a totes ses batailles ordenees. Et Johannis, li
villehardouin2, p. 258	venoit, si se traist arriers vers la soe terre. Et l'empereres Henris	chevalcha_|chevaucher|_VERcjg	tant que il vint a Andrenople et se loja defors en la praerie. Et
villehardouin2, p. 258	l'atendoit, por secoure les chaitis et les chaitives que il enmenoit. Et	chevaucha_|chevaucher|_VERcjg	aprés lui ; et cil s'en ala devant adés ; et ensi le sut
villehardouin2, p. 260	mult grant plenté. Lors se parti de cele cité a toz ses gaaiens et	chevaucha_|chevaucher|_VERcjg	a une altre cité loing d'iqui a une jornee, que on apele Blisme
villehardouin2, p. 260	Henri de Costantinoble ; et de l'autre, Makaire de Sainte Manehalt. Et	chevauchierent_|chevaucher|_VERcjg	entr'aus et les Grieus, trosque en la vallee que on lor ot enseignie
villehardouin2, p. 262	pueple que il ot rescous. A l'autre jor se parti del païs et	chevaucha_|chevaucher|_VERcjg	tant per ses jornees que il vint a Andrenople. Lors dona congié as homes
villehardouin2, p. 264	cum il dut. Lors sejorna l'empereres Henris per.V. jorz ; et puis	chevaucha_|chevaucher|_VERcjg	trosque a la cité del Dimot, por savoir coment ele ere abatue et se
villehardouin2, p. 264	lor gaainz de Visoi, qu'il avoient fait, en l'ost. Et	chevaucha_|chevaucher|_VERcjg	par devant Andrenople par ses jornees, tant que il vint en la terre Johannis
villehardouin2, p. 266	, et enmenerent les gaaiens mult granz de proies et d'autres avoirs. Et	chevauchierent_|chevaucher|_VERcjg	par lor jornees tant que il vindrent a la cité d'Andrenople et sejornerent el
villehardouin2, p. 268	mult grant et mult fiere, et fisent grant domage en sa terre. Et	chevauchierent_|chevaucher|_VERcjg	trosque a une terre qui Equise est apellee, que la mer clooit tote,
villehardouin2, p. 272	de Romenie et de Champaigne et Milon le Braibant por querre la dame. Et	chevauchierent_|chevaucher|_VERcjg	par lor jornees tant que il vindrent a la cité d'Aines. Et troverent
villehardouin2, p. 300	l'empereres ot passé le Braz Sain George, si ordena ses batailles, et	chevaucha_|chevaucher|_VERcjg	par ses jornees tant que il vint a Nichomie. Quant la gent Toldre l'
villehardouin2, p. 304	tens passé que il fu aprés la feste sain Johan, en juignet. Et	chevauça_|chevaucher|_VERcjg	tant que il vint a Andrenople, et se herberja es prez devant la ville
villehardouin2, p. 304	tors, qui mult avoit la vile empirie. Et l'endemain si mut et	chevaucha_|chevaucher|_VERcjg	vers la terre Johannis. Et chevaucha par.IIII. jorz ; et al cinquiesme jor
villehardouin2, p. 306	empirie. Et l'endemain si mut et chevaucha vers la terre Johannis. Et	chevaucha_|chevaucher|_VERcjg	par.IIII. jorz ; et al cinquiesme jor si vint al pié de la montaigne
villehardouin2, p. 308	l'endemain s'en parti l'empereres Henris et l'oz des François, et	chevauchierent_|chevaucher|_VERcjg	per lor jornees arrieres tant que il vindrent a la cité d'Andrenople. Et
villehardouin2, p. 308	de Monferrat, qui ere a la Serre, que il avoit refermee, fist	chevauchies_|chevauchée|_VERppe	trosque a Messinople. Et la terre se rendi a son commandement. Lors prist
villehardouin2, p. 312	fu a Messinople, ne tarda mie plus de.V. jorz que il fist une	chevauchie_|chevauchée|_NOMcom	, par le conseil as Greus de la terre, en la montaigne de Messinople
belinc, p. 5, v. 147	ot un cercle d'or, Les pieres valent un tresor. Un vair palefroi	cevaucoit_|chevaucher|_VERcjg	, Ne rois ne quens plus bel n'avoit ; La sele fu de mainte
belinc, p. 6, v. 169	bele creature. Li nains une corgie avoit, De coi le palefroi caçoit Que	cevaucoit_|chevaucher|_VERcjg	la damoissele. Devant le roi vint la pucele ; Molt le salua sinplement Et
belinc, p. 11, v. 321	croit mie, Ains veut adiés avant aler : Coardie ne velt penser. Or	cevaucent_|chevaucher|_VERcjg	, grant oirre vont ; Tant ont alé qu'a un gué sont C'on
belinc, p. 16, v. 516	i monta de tere plainne. Robers prist l'escu et la lance. Or	chevaucent_|chevaucher|_VERcjg	sans redoutance. Grant oirre cort, et cil remaint Qui de sa plaie molt
belinc, p. 19, v. 592	, se il le puent trover, En aventure est de sa vie. Il	cevauce_|chevaucher|_VERcjg	, si nel set mie. Le jor ont faite grant jornee ; Et quant
belinc, p. 22, v. 697	Robers les guie Devers le liu u la vois crie. Par le forest vont	cevaucant_|chevaucher|_VERcjg	Isnelement, Robers devant. Venu sont vers la vois qui crie, Tant sont
belinc, p. 38, v. 1234	Robers, qui n'est pas vilains, Et se sire si atornerent Et de	cevaucier_|chevaucher|_VERinf	s'apresterent. Vers la Cité Gaste s'en vont : Asés orés que il
belinc, p. 39, v. 1276	pucele les li se trait, Une aventure va contant. Par le forest vait	chevaucant_|chevaucher|_VERppe	Li chevalier se regarda : Un cerf vit qui les lui passa ; Langue traite
belinc, p. 40, v. 1302	prendre a pié descent ; Le bracet prist isnelement, Puis est hastivement montee Et	chevauca_|chevaucher|_VERcjg	tote l'estree. Le bracet dist qu'en portera Et a sa dame le
belinc, p. 48, v. 1548	, Come fin or reflanboians ; D'un fil d'argent fu galonnee, Si	cevaucoit_|chevaucher|_VERcjg	escevelee ; Les iols ot vairs, le front bien fait ; Mains ot blances
belinc, p. 53, v. 1725	esgardés ; et s'amie, Qui avoit non Rose Espanie, En coste celui	cevaucoit_|chevaucher|_VERcjg	Un palefroi, qui buens estoit. Molt estoit et laide et frencie. N'
belinc, p. 76, v. 2484	Hastivement et bien l'arma ; Et puis se metent a la voie, Si	cevaucierent_|chevaucher|_VERcjg	a grant joie. Tot quatre grant oirre s'en vont. Li solaus resluist
belinc, p. 76, v. 2490	aloit cantant Et molt grant joie demenant ; Son palefroi caçoit li nains, Et	chevaucierent_|chevaucher|_VERcjg	bos et plains. Vers le Gaste Cité en vont, Dusques as vespres erré
belinc, p. 85, v. 2766	Au nain qui tint le misaudor. Li nains le palefroi caçoit Que la pucele	cevaucoit_|chevaucher|_VERcjg	. Tot trois aloient consillant, Li Descouneüs vait devant Aveuc Robert son escuier.
belinc, p. 89, v. 2911	a tos malaventure ! » Outre s'en va grant aleüre Par mi la sale	cevaucant_|chevaucher|_VERcjg	, Que de rien ne se va targant. Derier l'uis ot un gougleor
